
2015-12-8  10:10:15
Enter time to start(hour min):Enter time to stop(hour min):
20983       3.247876

20984       5.838616

20985       8.437907

20986      10.957091

20987      13.439167

20988      16.180212

20989      18.689571

20990      20.967916

20995      23.559038

20991      23.733289

20992      26.145876

09999      27.878298

20992      28.051701

20993      28.751958

20994      31.160674

20995      33.910280

20996      36.166621

20997      38.974842

09999      41.099690

00000      46.169859

00088      47.155315

21005      48.958793

21001      49.126556

00888      51.804819

00088      52.298826

00000      54.112960

00088      54.280049

00888      54.611500

00088      54.778070

00000      54.942435

00088      55.273833

00333      56.586063

21005      59.073678

00088      61.789346

00000      62.616104

00088      63.775112

00000      64.283000

00088      66.943475

00888      68.776699

00088      69.110954

09999      69.440109

00088      71.895590

00000      72.055877

21011      74.630100

00000      77.102276

00088      78.561819

00000      80.019656

00088      80.180828

00000      81.152479

00088      81.315491

00333      82.122039

21015      84.390822

00088      87.039198

00000      88.184065

00088      88.351369

00000      88.674272

09999      94.607964

00888      96.896374

00000      97.380673

00888      98.189902

00000      98.351479

00888      98.674570

00000      98.837372

21021      99.487005

00000     102.137232

00088     102.301103

00000     103.602057

00088     103.763594

00000     104.253091

00088     105.391667

00000     106.040222

00088     106.861809

00333     107.184520

00000     109.289061

21025     109.455471

00000     112.111411

00888     117.381507

00000     117.879017

00088     119.358568

00888     119.523808

09999     119.690114

00000     122.164858

00088     122.488124

00000     123.943340

21031     124.598545

00000     127.254892

00088     131.518080

00888     131.683663

00333     132.178244

21035     134.781010

00088     137.469125

00000     138.135775

00088     138.461702

00888     139.455174

00000     139.618675

00888     142.453689

00000     142.950601

00088     143.944016

09999     144.942538

00033     147.256716

00333     147.421805

21041     150.368798

00333     152.883620

21045     169.586187

00333     177.182682

00000     200.331325

21051     208.059276

00000     211.247150

21055     225.349215

00000     237.287996
20983	3.247876
20984	5.838616
20985	8.437907
20986	10.957091
20987	13.439167
20988	16.180212
20989	18.689571
20990	20.967916
20995	23.559038
20991	23.733289
20992	26.145876
9999	27.878298
20992	28.051701
20993	28.751958
20994	31.160674
20995	33.910280
20996	36.166621
20997	38.974842
9999	41.099690
0	46.169859
88	47.155315
21005	48.958793
21001	49.126556
888	51.804819
88	52.298826
0	54.112960
88	54.280049
888	54.611500
88	54.778070
0	54.942435
88	55.273833
333	56.586063
21005	59.073678
88	61.789346
0	62.616104
88	63.775112
0	64.283000
88	66.943475
888	68.776699
88	69.110954
9999	69.440109
88	71.895590
0	72.055877
21011	74.630100
0	77.102276
88	78.561819
0	80.019656
88	80.180828
0	81.152479
88	81.315491
333	82.122039
21015	84.390822
88	87.039198
0	88.184065
88	88.351369
0	88.674272
9999	94.607964
888	96.896374
0	97.380673
888	98.189902
0	98.351479
888	98.674570
0	98.837372
21021	99.487005
0	102.137232
88	102.301103
0	103.602057
88	103.763594
0	104.253091
88	105.391667
0	106.040222
88	106.861809
333	107.184520
0	109.289061
21025	109.455471
0	112.111411
888	117.381507
0	117.879017
88	119.358568
888	119.523808
9999	119.690114
0	122.164858
88	122.488124
0	123.943340
21031	124.598545
0	127.254892
88	131.518080
888	131.683663
333	132.178244
21035	134.781010
88	137.469125
0	138.135775
88	138.461702
888	139.455174
0	139.618675
888	142.453689
0	142.950601
88	143.944016
9999	144.942538
33	147.256716
333	147.421805
21041	150.368798
333	152.883620
21045	169.586187
333	177.182682
0	200.331325
21051	208.059276
0	211.247150
21055	225.349215
0	237.287996
20984	1.751326
20983	2.255083
20984	2.940047
20982	5.358990
20985	5.531497
20986	8.114025
20987	10.457076
20988	13.125459
20989	15.605280
20990	18.203011
20991	20.832285
20992	23.073513
20994	25.661668
20993	26.528473
20994	27.397667
20995	30.851567
20996	33.431832
20997	35.852860
20998	38.480111
20999	40.962087
21000	43.353969
21001	46.035380
21005	48.494678
21002	48.661104
21004	51.171194
21003	53.485672
21004	53.652716
21005	56.128266
21006	58.769867
21007	61.316334
21009	63.811147
21008	63.982246
21009	66.477284
21010	68.978357
2101	71.441483
21011	71.606021
21012	74.018315
21014	76.474701
21013	76.807477
21014	78.921823
21015	81.512453
2101	83.929364
21016	84.093461
21017	86.410665
21018	89.034859
21019	91.502244
210	93.979106
21020	94.145883
21021	96.605790
21022	99.032884
21023	101.673628
21024	104.123184
21025	106.565234
21026	109.160378
21027	111.811715
21028	114.271112
21029	116.756331
21030	119.229348
21031	121.872445
2103	124.301956
21032	124.466328
21033	126.955995
21034	129.419776
21035	131.883089
21036	134.481001
21037	136.998129
21038	139.654443
21039	141.985938
21047	144.474530
21040	144.643664
21041	147.291219
21042	149.740207
21044	152.248304
21043	152.918479
21044	154.893342
21045	157.373111
21046	162.881985
21047	165.248441
21048	168.441444
21050	173.857445
21051	180.734328
21052	182.240531
21053	185.430296
21054	189.118525
21055	191.296627
21056	194.819153
21057	198.007313
21058	203.551608
21059	206.915747
21060	212.289121
21062	214.461825
21063	220.002701
21064	223.195643
21065	226.390384
21066	229.758462
21068	232.959030
21069	236.149459
21070	240.512770
20984	1.620380
20983	2.292138
20984	2.633490
20983	2.804794
20984	2.977032
20985	5.395236
20986	7.973825
20987	10.494247
20988	13.162972
20989	15.645890
20990	18.063083
20991	20.692113
20992	23.109663
20994	25.698033
20993	26.564735
20994	27.434026
20993	27.782175
20994	27.950437
20993	28.123923
20994	28.298831
20995	30.713337
2099	33.292133
20996	33.468322
20997	35.889523
20998	38.337205
20999	40.999154
21000	43.389573
21001	46.070282
21002	48.529675
21004	51.035800
21003	52.696153
21004	52.861678
21003	53.520811
21004	53.687953
21005	55.998280
21006	58.637208
21007	61.351889
21008	63.847366
21009	66.343993
21010	69.013282
21011	71.475377
21012	73.889661
21013	76.509036
21014	76.673944
21013	76.841821
21014	77.493627
21013	77.654460
21014	77.817246
21013	77.979064
21014	78.956374
21015	81.383379
21016	83.963864
21017	86.445485
21018	89.070114
21019	91.537418
21020	94.014259
21021	96.477760
21022	99.067310
21023	101.539123
21024	104.157902
21025	106.599475
21026	109.195040
21027	111.846642
21028	114.306625
2102	116.624436
21029	116.791747
21030	119.264543
21031	121.906813
21032	124.336531
21033	126.820599
21034	129.454625
21035	131.917713
21036	134.515927
21037	137.033288
21038	139.690145
21039	142.021460
21040	144.509802
21041	147.162445
21042	149.605962
21044	152.283348
21043	152.953298
21044	154.763609
21045	158.417820
21046	160.737690
21048	166.291328
21049	171.706198
21050	174.898830
21051	178.592893
21053	183.285831
21054	186.973661
21055	192.340939
21056	195.857978
21057	199.050650
21058	201.406356
21059	204.767167
21060	209.134919
21062	215.504165
21063	217.855985
21064	221.046488
21065	227.426838
21068	230.803805
21069	233.999860
21070	238.365826
21071	241.554867
20984	1.486772
20983	1.657171
20984	1.990762
20983	2.158919
20984	3.013775
20985	5.431485
20986	8.010650
20987	10.531392
20988	13.022810
20989	15.501083
20990	18.099923
20991	20.728030
20992	22.969367
